number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
1075, 0.372376, 0.170196, 0.165792, 0.115495, 0.092043, 0.068922, 0.015175, 0.679182, 0.401882, 0.616016, 0.502324, 19.28
1076, 0.364679, 0.174115, 0.169139, 0.114647, 0.092145, 0.067303, 0.017972, 0.680231, 0.418439, 0.632045, 0.652964, 19.3
1077, 0.36263, 0.170195, 0.162596, 0.12148, 0.099425, 0.06502, 0.018654, 0.700174, 0.383207, 0.636876, 0.727575, 17.49
1078, 0.368604, 0.170637, 0.157424, 0.118655, 0.096276, 0.07266, 0.015744, 0.659154, 0.622386, 0.711756, 0.566318, 19.37
1079, 0.370447, 0.167269, 0.162476, 0.118364, 0.093828, 0.07097, 0.016646, 0.759612, 0.305436, 0.537302, 0.623728, 17.16
1080, 0.366389, 0.17246, 0.162465, 0.117028, 0.093966, 0.071627, 0.016065, 0.616145, 0.575536, 0.665214, 0.548851, 16.84
1081, 0.373619, 0.16512, 0.164697, 0.11456, 0.095025, 0.070298, 0.016681, 0.594356, 0.466514, 0.684666, 0.658317, 17.5
1082, 0.361651, 0.175899, 0.163789, 0.11644, 0.097286, 0.068851, 0.016085, 0.711013, 0.402698, 0.578326, 0.593303, 17.32
1083, 0.363655, 0.16858, 0.15987, 0.120595, 0.095786, 0.073508, 0.018006, 0.681518, 0.519691, 0.69389, 0.75853, 17.65
1084, 0.339575, 0.174227, 0.169239, 0.132494, 0.098952, 0.073153, 0.01236, 0.643391, 0.616766, 0.734574, 0.67394, 20.44
1085, 0.382593, 0.179556, 0.158033, 0.112659, 0.089196, 0.066527, 0.011436, 0.583557, 0.613296, 0.62016, 0.406945, 18.59
1086, 0.366761, 0.16296, 0.150602, 0.127309, 0.108874, 0.069215, 0.014279, 0.576446, 0.62014, 0.692473, 0.365271, 18.24
1087, 0.369201, 0.166372, 0.168347, 0.117146, 0.093325, 0.069915, 0.015694, 0.593747, 0.453515, 0.601778, 0.490155, 18.15
1088, 0.362861, 0.176005, 0.17582, 0.111966, 0.08875, 0.069169, 0.015428, 0.654578, 0.523211, 0.692748, 0.623884, 21.13
1089, 0.37461, 0.173722, 0.164931, 0.115814, 0.090916, 0.066623, 0.013385, 0.335984, 0.414459, 0.590771, 0.543979, 17.6
