number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
2086, 0.384625, 0.173248, 0.144937, 0.119592, 0.092942, 0.069333, 0.015322, 0.369726, 0.528039, 0.561048, 0.450215, 18.89
2087, 0.378956, 0.182374, 0.144743, 0.120677, 0.094721, 0.061642, 0.016888, 0.479559, 0.568245, 0.552443, 0.470986, 18.86
2088, 0.380073, 0.1675, 0.154343, 0.126934, 0.088631, 0.063723, 0.018796, 0.650624, 0.47213, 0.565345, 0.400626, 19.58
2089, 0.369396, 0.162761, 0.153225, 0.125467, 0.100333, 0.066106, 0.022713, 0.544277, 0.508046, 0.545721, 0.541178, 15.74
2090, 0.373008, 0.170972, 0.164111, 0.120168, 0.094297, 0.070976, 0.006468, 0.629818, 0.477102, 0.499038, 0.484379, 17.33
2091, 0.385908, 0.161837, 0.150918, 0.122955, 0.102112, 0.069538, 0.006732, 0.5754, 0.588366, 0.489926, 0.447396, 18.68
2092, 0.374673, 0.166372, 0.159669, 0.119453, 0.097687, 0.071613, 0.010533, 0.693617, 0.387262, 0.54048, 0.5923, 18.03
2093, 0.340229, 0.168318, 0.156142, 0.146636, 0.106606, 0.065728, 0.01634, 0.504966, 0.58839, 0.624325, 0.371476, 18.92
2094, 0.323807, 0.176515, 0.152291, 0.141962, 0.112077, 0.069437, 0.023911, 0.503305, 0.774707, 0.645331, 0.320278, 19.86
2095, 0.328242, 0.174075, 0.164677, 0.139894, 0.102098, 0.070827, 0.020186, 0.360471, 0.615671, 0.517755, 0.484889, 19.06
2096, 0.331047, 0.173053, 0.159631, 0.136262, 0.107138, 0.072755, 0.020115, 0.607777, 0.757354, 0.725822, 0.46492, 18.62
2097, 0.366146, 0.174443, 0.154625, 0.124869, 0.095581, 0.063864, 0.020472, 0.456816, 0.399699, 0.5073, 0.615851, 17.01
2098, 0.336502, 0.172563, 0.159434, 0.138967, 0.102758, 0.07295, 0.016826, 0.592324, 0.638412, 0.6542, 0.446393, 18.99
2099, 0.35709, 0.165207, 0.151023, 0.136195, 0.104533, 0.067205, 0.018747, 0.484224, 0.623616, 0.521994, 0.328268, 18.39
2100, 0.32519, 0.180189, 0.163047, 0.137859, 0.104571, 0.071042, 0.018102, 0.667886, 0.797781, 0.839952, 0.532221, 22.56
2101, 0.383668, 0.168031, 0.15654, 0.117263, 0.096109, 0.06962, 0.008769, 0.585296, 0.588386, 0.461401, 0.507321, 16.65
2102, 0.388682, 0.163647, 0.157502, 0.118238, 0.092774, 0.069636, 0.009521, 0.565944, 0.475925, 0.487604, 0.491649, 17.67
2103, 0.371301, 0.16519, 0.148027, 0.133728, 0.09857, 0.065568, 0.017615, 0.610481, 0.697912, 0.581499, 0.155174, 20.15
2104, 0.3343, 0.174544, 0.179553, 0.126252, 0.099868, 0.071906, 0.013577, 0.551081, 0.565102, 0.839051, 0.64271, 18.17
2105, 0.34613, 0.163408, 0.157963, 0.129056, 0.110181, 0.073655, 0.019606, 0.322572, 0.773263, 0.558303, 0.401468, 22.33
2106, 0.352888, 0.16409, 0.153006, 0.127372, 0.107132, 0.068301, 0.027209, 0.586049, 0.567286, 0.623344, 0.59722, 18.97
2107, 0.374659, 0.165219, 0.167436, 0.115108, 0.100294, 0.069541, 0.007743, 0.632521, 0.44542, 0.478606, 0.470923, 17.32
2108, 0.372176, 0.167381, 0.164977, 0.113284, 0.101167, 0.074137, 0.006879, 0.511557, 0.422896, 0.45199, 0.472649, 18.49
2109, 0.363917, 0.182541, 0.143319, 0.126333, 0.102804, 0.06593, 0.015156, 0.539243, 0.60551, 0.737531, 0.484493, 20.55
