ID, Name, Background, Body, Feathers, Beak, Eyes, Eyewear, Headwear, Outfit
292, #292, Yellow, Guardian, Pink, Small, Side-Eye, , McDonald's Visor, 
293, #293, Pink, Crescent, Red, Small, Open, , Walmart Hat, Janitor Shirt
294, #294, Gray, Stark, Black, Small, Open, , , KFC Shirt
295, #295, Green, Guardian, Green, Small, Angry, , Popcorn, McDonalds Shirt
296, #296, Pink, Crescent, White, Short, Discerning, , McDonald's Box Hat, Taco Bell Shirt
297, #297, Purple, Crescent, Blue, Short, Discerning, , McDonald's Visor, 
298, #298, Gray, Tabby, White, Small, Discerning, , Ben & Jerry's Bucket Hat, Taco Bell Shirt
299, #299, Gray, Guardian, Black, Short, Angry, , Burger King Visor, McDonalds Polo
300, #300, Green, Professor, Black, Short, Discerning, , Denny's Hat, Burger King Uniform
301, #301, Yellow, Guardian, Black, Small, Open, , , Dominos Shirt
302, #302, Pink, Crescent, Green, Small, Relaxed, , Hooters Hat, KFC Shirt
303, #303, Green, Tranquil, Blue, Small, Discerning, , Starbucks Hat, Burger King Uniform
304, #304, Pink, Crescent, Brown, Small, Relaxed, , McDonald's Hat, Janitor Shirt
305, #305, Blue, Brave, Red, Short, Side-Eye, , , Subway Shirt
306, #306, Yellow, Guardian, Purple, Small, Relaxed, , Starbucks Hat, 
307, #307, Green, Stark, Red, Short, , Gazelles, Subway Visor 2, 
308, #308, Blue, Emperor, Green, Long, Fire, , McDonald's Hat, 
309, #309, Gray, Crescent, Purple, Small, , Jobs Glasses, Hamburger, 
310, #310, Blue, Crescent, Pink, Short, Open, , Dunkin' Donuts Hat, 
311, #311, Green, Crescent, Brown, Short, Open, , Chick-fil-A Hat, Walmart Shirt
312, #312, Green, Sage, Brown, Long, Side-Eye, , In-N-Out Burger Hat, Subway Shirt
313, #313, Purple, Crescent, Gray, Long, Open, Big Tech, Chick-fil-A Hat, McDonalds Polo
314, #314, Green, Crescent, Brown, Small, Angry, , Taco, 
315, #315, Pink, Brave, Pink, Long, Open, , KFC Bucket Hat, 
316, #316, Yellow, Tabby, Gray, Short, Open, , Taco Bell Hat, McDonalds Shirt
317, #317, Blue, Crescent, Green, Short, Discerning, , Subway Visor, Janitor Shirt
318, #318, Purple, Crescent, Blue, Short, Side-Eye, , Walmart Hat, Janitor Shirt
319, #319, Gray, Tranquil, Brown, Small, Open, , , Starbucks Apron
320, #320, Gray, Tabby, Blue, Small, Side-Eye, , KFC Hat, McDonalds Polo
321, #321, Green, Brave, Pink, Small, Side-Eye, , , Burger King Uniform
322, #322, Yellow, Tabby, Black, Short, Relaxed, , Popcorn, 
323, #323, Green, Stark, Green, Short, Angry, , In-N-Out Burger Hat, Starbucks Apron
324, #324, Green, Emperor, Red, Long, Relaxed, , Taco Bell Hat, McDonalds Shirt
325, #325, Gray, Guardian, Gray, Long, Side-Eye, , , Subway Shirt
326, #326, Gray, Stark, Brown, Small, Discerning, , Walmart Hat, 
