ID, Name, Background, Body, Feathers, Beak, Eyes, Eyewear, Headwear, Outerwear
5967, #5967, Purple, Emperor, White, Small, Diamond, , , 
5968, #5968, Green, Crescent, Purple, Long, Fire, , Halo, 
5969, #5969, Blue, Guardian, Gray, Small, Discerning, , Cowboy Hat, 
5970, #5970, Purple, Tabby, Purple, Short, , Jobs Glasses, Dancing Flame, 
5971, #5971, Green, Crescent, Purple, Short, Discerning, , Lincoln, 
5972, #5972, Blue, Tranquil, Green, Short, Side-eye, , , 
5973, #5973, Green, Crescent, Blue, Small, Open, , Moon Hat, 
5974, #5974, Green, Tabby, Purple, Small, Side-eye, , Skully, 
5975, #5975, Gray, Tranquil, Brown, Small, Side-eye, , Mohawk (Green), 
5976, #5976, Green, Sage, Red, Small, Angry, , Headband, 
5977, #5977, Gray, Crescent, Blue, Small, Moon, , Bucket Hat, 
5978, #5978, Yellow, Robot, Metal, Small, Angry, , Captain's Cap, Hoodie Down
5979, #5979, Yellow, Brave, Blue, Long, Rainbow, , Bandana, 
5980, #5980, Gray, Professor, Purple, Small, Open, , , 
5981, #5981, Blue, Tranquil, Brown, Small, Moon, , Bandana, 
5982, #5982, Yellow, Stark, Green, Small, Open, , , 
5983, #5983, Green, Brave, Brown, Short, Open, , Gremplin, 
5984, #5984, Pink, Guardian, Red, Small, Rainbow, , Karate Band, 
5985, #5985, Green, Guardian, Red, Short, Angry, , Headphones, 
5986, #5986, Yellow, Crescent, Purple, Small, Side-eye, , Lincoln, Punk Jacket
5987, #5987, Green, Stark, Brown, Small, Discerning, , Fire, Diamond Necklace
5988, #5988, Blue, Tranquil, Brown, Long, Discerning, , Tiara, 
5989, #5989, Purple, Guardian, Brown, Long, Discerning, , Queen's Crown, 
5990, #5990, Gray, Stark, Brown, Small, , Jobs Glasses, Bandana, 
5991, #5991, Green, Tabby, Gray, Short, Diamond, , Pirate's Hat, Bomber Jacket
5992, #5992, Purple, Crescent, Red, Short, Angry, , Captain's Cap, 
5993, #5993, Green, Professor, Purple, Small, Relaxed, , , Hoodie Down
5994, #5994, Gray, Stark, White, Short, Open, , , 
5995, #5995, Green, Crescent, Blue, Small, Relaxed, , Captain's Cap, 
5996, #5996, Blue, Crescent, Brown, Short, Side-eye, Eyepatch, Wizard's Hat, 
5997, #5997, Yellow, Crescent, Green, Long, Open, , Wizard's Hat, 
5998, #5998, Pink, Brave, Red, Small, Angry, , Grail, 
5999, #5999, Gray, Crescent, Black, Small, , Visor, , 
6000, #6000, Gray, Tranquil, Brown, Small, Open, , Mohawk (Green), 
6001, #6001, Purple, Crescent, Black, Long, Open, , Bandana, 
6002, #6002, Purple, Brave, Brown, Long, , Visor, , Gold Chain
6003, #6003, Blue, Crescent, Red, Small, Discerning, , Durag, 
6004, #6004, Green, Tranquil, Black, Small, Open, , Space Helmet, 
6005, #6005, Purple, Tranquil, Black, Small, Open, , Headphones, 
6006, #6006, Gray, Crescent, Brown, Small, Side-eye, , , 
6007, #6007, Green, Crescent, Blue, Small, Open, , Bucket Hat, Hoodie Down
6008, #6008, Blue, Stark, Gray, Short, Open, , Flower, 
6009, #6009, Gray, Crescent, Blue, Short, Side-eye, , Bucket Hat, 
6010, #6010, Pink, Crescent, Black, Small, Discerning, , Captain's Cap, 
